link,date,date_num,year,month,day,state,city,venue_name,venue_full,run_index,show_index,show_in_run,year_index,venue,is_radio,show_notes,n_songs,is_soundcheck,is_opening_act,weekday,is_fut
http://everydaycompanion.com/setlists/20250215a.asp,2025-02-15,20250215,2025,2,15,NJ,ATLANTIC CITY,ETESS ARENA,"ETESS ARENA, ATLANTIC CITY, NJ",1341,3202,1,1,"Etess Arena, Atlantic City, NJ",0,,0,0,0,Friday,1
http://everydaycompanion.com/setlists/20250216a.asp,2025-02-16,20250216,2025,2,16,NJ,ATLANTIC CITY,ETESS ARENA,"ETESS ARENA, ATLANTIC CITY, NJ",1341,3203,2,2,"Etess Arena, Atlantic City, NJ",0,,0,0,0,Saturday,1
http://everydaycompanion.com/setlists/20250217a.asp,2025-02-17,20250217,2025,2,17,NJ,ATLANTIC CITY,ETESS ARENA,"ETESS ARENA, ATLANTIC CITY, NJ",1341,3204,3,3,"Etess Arena, Atlantic City, NJ",0,,0,0,0,Sunday,1
http://everydaycompanion.com/setlists/20250321a.asp,2025-03-21,20250321,2025,3,21,FL,ST. AUGUSTINE,ST. AUGUSTINE AMPHITHEATRE,"ST. AUGUSTINE AMPHITHEATRE, ST. AUGUSTINE, FL",1342,3205,1,4,"St. Augustine Amphitheatre, St. Augustine, FL",0,,0,0,0,Friday,1
http://everydaycompanion.com/setlists/20250322a.asp,2025-03-22,20250322,2025,3,22,FL,ST. AUGUSTINE,ST. AUGUSTINE AMPHITHEATRE,"ST. AUGUSTINE AMPHITHEATRE, ST. AUGUSTINE, FL",1342,3206,2,5,"St. Augustine Amphitheatre, St. Augustine, FL",0,,0,0,0,Saturday,1
http://everydaycompanion.com/setlists/20250323a.asp,2025-03-23,20250323,2025,3,23,FL,ST. AUGUSTINE,ST. AUGUSTINE AMPHITHEATRE,"ST. AUGUSTINE AMPHITHEATRE, ST. AUGUSTINE, FL",1342,3207,3,6,"St. Augustine Amphitheatre, St. Augustine, FL",0,,0,0,0,Sunday,1
http://everydaycompanion.com/setlists/20250424a.asp,2025-04-24,20250424,2025,4,24,TN,NASHVILLE,ASCEND AMPHITHETER,"ASCEND AMPHITHETER, NASHVILLE, TN",1343,3208,1,7,"Ascend Amphitheater, Nashville, TN",0,,0,0,0,Friday,1
http://everydaycompanion.com/setlists/20250425a.asp,2025-04-25,20250425,2025,4,25,TN,NASHVILLE,ASCEND AMPHITHETER,"ASCEND AMPHITHETER, NASHVILLE, TN",1343,3209,2,8,"Ascend Amphitheater, Nashville, TN",0,,0,0,0,Saturday,1
http://everydaycompanion.com/setlists/20250426a.asp,2025-04-26,20250426,2025,4,26,TN,NASHVILLE,ASCEND AMPHITHETER,"ASCEND AMPHITHETER, NASHVILLE, TN",1343,3210,3,9,"Ascend Amphitheater, Nashville, TN",0,,0,0,0,Sunday,1
http://everydaycompanion.com/setlists/20250516a.asp,2025-05-16,20250516,2025,5,16,SC,CHARLESTON,CREDIT ONE STADIUM,"CREDIT ONE STADIUM, CHARLESTON, SC",1344,3211,1,10,"Credit One Stadium, Charleston, SC",0,,0,0,0,Friday,1
http://everydaycompanion.com/setlists/20250517a.asp,2025-05-17,20250517,2025,5,17,SC,CHARLESTON,CREDIT ONE STADIUM,"CREDIT ONE STADIUM, CHARLESTON, SC",1344,3212,2,11,"Credit One Stadium, Charleston, SC",0,,0,0,0,Saturday,1
http://everydaycompanion.com/setlists/20250604a.asp,2025-06-04,20250604,2025,6,4,IL,CHICAGO,CHICAGO THEATRE,"CHICAGO THEATRE, CHICAGO, IL",1345,3213,1,12,"Chicago Theatre, Chicago, IL",0,,0,0,0,Friday,1
http://everydaycompanion.com/setlists/20250605a.asp,2025-06-05,20250605,2025,6,5,IL,CHICAGO,CHICAGO THEATRE,"CHICAGO THEATRE, CHICAGO, IL",1345,3214,2,13,"Chicago Theatre, Chicago, IL",0,,0,0,0,Saturday,1
http://everydaycompanion.com/setlists/20250606a.asp,2025-06-06,20250606,2025,6,6,IL,CHICAGO,CHICAGO THEATRE,"CHICAGO THEATRE, CHICAGO, IL",1345,3215,3,14,"Chicago Theatre, Chicago, IL",0,,0,0,0,Sunday,1
