link,date,date_num,year,month,day,state,city,venue_name,venue_full,run_index,show_index,show_in_run,year_index,venue,is_radio,show_notes,n_songs,is_soundcheck,is_opening_act,weekday,is_fut
http://everydaycompanion.com/setlists/19860206a.asp,1986-02-06,19860206,1986,2,6,GA,ATHENS,THE MAD HATTER BALLROOM,"THE MAD HATTER BALLROOM, ATHENS, GA",1,1,1,1,"The Mad Hatter Ballroom, Athens, GA",0,"[Todd's first show; First ""official"" Widespread Panic show; Benefit for Africa; Opened for Strawberry Flats]",11,0,1,Thursday,0
http://everydaycompanion.com/setlists/19860213a.asp,1986-02-13,19860213,1986,2,13,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",2,2,1,2,"Uptown Lounge, Athens, GA",0,"['Postcard' rap, 'Domino' rap, and 'Long May You Live' rap by JB during 'Jam']",18,0,0,Thursday,0
http://everydaycompanion.com/setlists/19860217a.asp,1986-02-17,19860217,1986,2,17,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",3,3,1,3,"Uptown Lounge, Athens, GA",0,,0,0,0,Monday,0
http://everydaycompanion.com/setlists/19860227a.asp,1986-02-27,19860227,1986,2,27,GA,ATHENS,RUGBY'S,"RUGBY'S, ATHENS, GA",4,4,1,4,"Rugby's, Athens, GA",0,[Setlist Incomplete],3,0,0,Thursday,0
http://everydaycompanion.com/setlists/19860303a.asp,1986-03-03,19860303,1986,3,3,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",5,6,1,6,"Uptown Lounge, Athens, GA",0,,0,0,0,Monday,0
http://everydaycompanion.com/setlists/19860317a.asp,1986-03-17,19860317,1986,3,17,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",6,7,1,7,"Uptown Lounge, Athens, GA",0,,14,0,0,Monday,0
http://everydaycompanion.com/setlists/19860405a.asp,1986-04-05,19860405,1986,4,5,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",7,9,1,9,"Uptown Lounge, Athens, GA",0,,14,0,0,Saturday,0
http://everydaycompanion.com/setlists/19860407a.asp,1986-04-07,19860407,1986,4,7,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",8,10,1,10,"Uptown Lounge, Athens, GA",0,,20,0,0,Monday,0
http://everydaycompanion.com/setlists/19860414a.asp,1986-04-14,19860414,1986,4,14,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",9,11,1,11,"Uptown Lounge, Athens, GA",0,['Jam' is similar to Grateful Dead's 'Spanish Jam'; 'War' rap by JB during 'Heathen'],22,0,0,Monday,0
http://everydaycompanion.com/setlists/19860417a.asp,1986-04-17,19860417,1986,4,17,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",10,12,1,12,"Uptown Lounge, Athens, GA",0,,18,0,0,Thursday,0
http://everydaycompanion.com/setlists/19860424a.asp,1986-04-24,19860424,1986,4,24,SC,CLEMSON,QUARTERS,"QUARTERS, CLEMSON, SC",11,13,1,13,"Quarters, Clemson, SC",0,[Setlist Incomplete; JB rap during 'No Sugar Tonight/New Mother Nature'],12,0,0,Thursday,0
http://everydaycompanion.com/setlists/19860425a.asp,1986-04-25,19860425,1986,4,25,SC,CLEMSON,QUARTERS,"QUARTERS, CLEMSON, SC",11,14,2,14,"Quarters, Clemson, SC",0,,21,0,0,Friday,0
http://everydaycompanion.com/setlists/19860426a.asp,1986-04-26,19860426,1986,4,26,SC,CLEMSON,QUARTERS,"QUARTERS, CLEMSON, SC",11,15,3,15,"Quarters, Clemson, SC",0,,0,0,0,Saturday,0
http://everydaycompanion.com/setlists/19860428a.asp,1986-04-28,19860428,1986,4,28,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",12,16,1,16,"Uptown Lounge, Athens, GA",0,,16,0,0,Monday,0
http://everydaycompanion.com/setlists/19860505a.asp,1986-05-05,19860505,1986,5,5,GA,ATHENS,UPTOWN LOUNGE,"UPTOWN LOUNGE, ATHENS, GA",13,17,1,17,"Uptown Lounge, Athens, GA",0,,0,0,0,Monday,0
http://everydaycompanion.com/setlists/19860506a.asp,1986-05-06,19860506,1986,5,6,SC,HILTON HEAD,SOUTH BEACH MARINA,"SOUTH BEACH MARINA, HILTON HEAD, SC",13,18,2,18,"South Beach Marina, Hilton Head, SC",0,,0,0,0,Tuesday,0
